Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital status,Religion,state,Education Required,Minority status,For Orphans,Eligibility Summary
Promotion of Energy Audit and Conservation of Energy (PEACE): Awareness Programme,"Audit, Awareness, Business, Energy, MSME, Programme",Raises MSME awareness about energy audits and conservation to boost efficiency and competitiveness.,https://www.myscheme.gov.in/,18,none,any,any,null,MSMEs,no,any,any,Tamil Nadu,none,any,no,MSMEs in Tamil Nadu
MSME Skill Training and Employment scheme,"Employment, MSME, Skill, stipend, Trainee, Training",Provides skill training with stipends to MSME workers to enhance employability and promote employment generation.,https://www.myscheme.gov.in/,18,none,any,any,null,MSME Trainees,no,any,any,Tamil Nadu,none,any,no,Trainees associated with MSMEs in Tamil Nadu
Chief Minister's Comprehensive Health Insurance scheme,"Cashless Medical Treatment, Critical Illnesses, Economically-weaker Sections, Health Insurance, Public And Private Sector Hospitals",Provides free health insurance coverage to economically weaker families for treatments in empanelled hospitals.,https://www.myscheme.gov.in/,0,none,any,any,null,Residents,no,any,any,Tamil Nadu,none,any,no,Economically weaker families in Tamil Nadu
Grant of Quality Certification Reimbursement of Charges,"Business, Certification, Enterprise, MSME, Quality, Reimbursement","Offers reimbursement up to ₹2,00,000 for National and ₹10,00,000 for International quality certifications for MSMEs.",https://www.myscheme.gov.in/,18,none,any,any,null,MSMEs,no,any,any,Tamil Nadu,none,any,no,MSMEs in Tamil Nadu
Subsidy for Asset Creation for Intellectual Property,"Business, Enterprise, IPR, MSME, Property, Trademark",Provides subsidy for trademark and GI registration costs in India and abroad to promote IP creation by MSMEs.,https://www.myscheme.gov.in/,18,none,any,any,null,MSMEs,no,any,any,Tamil Nadu,none,any,no,MSMEs in Tamil Nadu
Moovalur Ramamirtham Ammaiyar Higher Education Assurance scheme,"Education, Financial Assistance, Girl, school, student",Provides financial assistance to girl students pursuing higher education.,https://www.myscheme.gov.in/,17,none,female,any,null,student,no,any,any,Tamil Nadu,12th Pass,no,no,Girl students in Tamil Nadu pursuing higher education are eligible.
Low Tension Power Tariff (LTPT) Subsidy,"Electricity, Enterprise, MSME, Power, Subsidy",Offers 20% subsidy on electricity bills for 36 months from production start or power connection date for MSMEs.,https://www.myscheme.gov.in/,18,none,any,any,null,MSME/ Entrepreneur,no,any,any,Tamil Nadu,none,no,no,Tamil Nadu-based MSMEs are eligible for 20% power bill subsidy.
Unemployed Youth Employment Generation Programme (UYEGP) (sc),Business / Loan / MSME / sc,Loans with subsidy for unemployed sc youth from weaker sections in Tamil Nadu to start businesses.,https://www.myscheme.gov.in/,18,35,any,sc,"Below ₹27,000",Unemployed,no,any,any,Tamil Nadu,10th Pass,no,no,Unemployed sc youth with low income in Tamil Nadu eligible for loans with subsidy.
Unemployed Youth Employment Generation Programme (UYEGP) (st),Business / Loan / MSME / st,Loans with subsidy for unemployed st youth from weaker sections in Tamil Nadu to start businesses.,https://www.myscheme.gov.in/,18,35,any,st,"Below ₹27,001",Unemployed,no,any,any,Tamil Nadu,10th Pass,no,no,Unemployed st youth with low income in Tamil Nadu eligible for loans with subsidy.
Unemployed Youth Employment Generation Programme (UYEGP) (obc),Business / Loan / MSME / obc,Loans with subsidy for unemployed obc youth from weaker sections in Tamil Nadu to start businesses.,https://www.myscheme.gov.in/,18,35,any,obc,"Below ₹27,002",Unemployed,no,any,any,Tamil Nadu,10th Pass,no,no,Unemployed obc youth with low income in Tamil Nadu eligible for loans with subsidy.
Zero Ticket Bus Travel scheme (For Women),"Bus, Empowerment, Transport, Women, Zero Ticket",Provides free travel up to 30 km in government buses for women.,https://www.myscheme.gov.in/,10,none,female,any,null,any,no,any,any,Tamil Nadu,none,no,no,Women in Tamil Nadu can travel free up to 30 km in government buses.
Zero Ticket Bus Travel scheme (For Transgender Persons),"Bus, Empowerment, Transport, Women, Zero Ticket",Provides free travel up to 30 km in government buses for transgender persons.,https://www.myscheme.gov.in/,10,none,Other,any,null,any,no,any,any,Tamil Nadu,none,no,no,Transgender persons in Tamil Nadu can travel free up to 30 km in government buses.
Chief Minister Breakfast scheme,"Breakfast, Children, Food, Primary school, student",Provides free breakfast to government primary school students (Class 1-5) on all working days.,https://www.myscheme.gov.in/,6,10,any,any,null,student,no,any,any,Tamil Nadu,none,no,no,Primary school children (Class 1–5) in Tamil Nadu government schools receive free breakfast on working days.
Amma Two Wheeler scheme for Working Women,"Banking, Empowerment, Loan, Two Wheeler, Women",Provides subsidized loans for women to buy two-wheelers for commuting to work.,https://www.myscheme.gov.in/,18,45,female,any,"₹27,000–1 Lakh",Working Women,no,any,any,Tamil Nadu,10th Pass,no,no,Working women in Tamil Nadu from low-income households can avail subsidized two-wheeler loans.
Indira Gandhi National Disability Pension scheme - Tamil Nadu,"BPL, Clothes, Disability, Meal, Pension, PwD","Provides ₹1,000 monthly pension to persons with 80%+ disability, aged 18+, from BPL households.",https://www.myscheme.gov.in/,18,none,any,any,"Below ₹27,000",any,yes,any,any,Tamil Nadu,none,no,no,"Persons in Tamil Nadu with 80%+ disability and BPL status aged 18+ are eligible for ₹1,000 monthly pension."
Indira Gandhi National Widow Pension scheme - Tamil Nadu,"BPL, Clothes, Meal, Pension, Widow, Women","Offers ₹1,000 monthly pension to destitute widows aged 40+ from BPL households.",https://www.myscheme.gov.in/,40,none,female,any,"Below ₹27,000",any,no,Widowed,any,Tamil Nadu,none,no,no,"Widows aged 40+ from BPL households in Tamil Nadu receive a ₹1,000 monthly pension."
Sathiyavanimuthu Ammaiyar Ninaivu Free Supply of Sewing Machine scheme,"Destitute, Differently Abled, Employment, EWS, Widow","Provides free sewing machines to destitute women, widows, and differently-abled persons for self-employment.",https://www.myscheme.gov.in/,18,none,female,any,"₹27,000–1 Lakh",Self-Employment/ Widows/ Differently Abled,any,any,any,Tamil Nadu,none,no,no,"Destitute women, widows, and differently-abled persons in Tamil Nadu are eligible for free sewing machines to support self-employment."
Indira Gandhi National Old Age Pension scheme - Tamil Nadu,"BPL, Clothes, Meal, Pension, Senior Citizen","Provides ₹1,000 monthly pension to destitute persons aged 60+ from BPL households.",https://www.myscheme.gov.in/,60,none,any,any,"Below ₹27,000",any,no,any,any,Tamil Nadu,none,no,no,"Destitute senior citizens aged 60+ from BPL families in Tamil Nadu get ₹1,000 monthly pension."
Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance scheme-II,"Financial Assistance, Rehabilitate, Remarriage, Widow",Offers financial assistance to widows remarrying for their rehabilitation.,https://www.myscheme.gov.in/,18,none,female,any,"₹27,000–1 Lakh",Remarrying Widows,no,Widowed,any,Tamil Nadu,none,no,no,Widows remarrying in Tamil Nadu from low-income households are eligible for financial support.
Distress Relief scheme,"BPL, Death, Family, Financial Assistance, Relief","Provides ₹20,000 financial assistance to BPL families on death of their primary breadwinner.",https://www.myscheme.gov.in/,18,none,any,any,"Below ₹27,000",Dependent Family,no,any,any,Tamil Nadu,none,no,no,"BPL families in Tamil Nadu facing the death of their breadwinner are eligible for ₹20,000 financial assistance."
E.V.R. Maniammaiyar Ninaivu Marriage Assistance scheme for Daughters of Poor Widows-II,"Daughter, Financial Assistance, Marriage, Widow",Provides financial aid to poor widows for the marriage of their daughters.,https://www.myscheme.gov.in/,18,none,female,any,"₹27,000–1 Lakh",Daughter of Widow,no,Unmarried,any,Tamil Nadu,10th Pass,no,no,Unmarried daughters of poor widows in Tamil Nadu are eligible for marriage financial assistance.
scheme of Extending Grants for the Publication of Rare Books on Arts,"Arts, Book, Financial Assistance, Grant, Publication","Provides 60% of publication costs or ₹15,000 (whichever is less) for rare arts-related book publications.",https://www.myscheme.gov.in/,21,none,any,any,null,Writer/ Publisher,no,any,any,Tamil Nadu,Graduate+,no,no,Writers of rare arts-related books in Tamil Nadu are eligible for grants towards publishing expenses.
scheme for Giving Awards to Junior Artists in Contemporary Art Field,"Artists, Award, Exhibition, Financial Assistance","Offers ₹10,000 award to junior artists in contemporary painting and sculpture exhibitions.",https://www.myscheme.gov.in/,21,none,any,any,null,Junior Artist,no,any,any,Tamil Nadu,Graduate+,no,no,"Junior contemporary artists in Tamil Nadu are eligible for ₹10,000 award in painting and sculpture exhibitions."
scheme of Awarding Porkizhi to the Indigent Kalaimamani Awardee Artists,"Artist, Award, Financial Assistance, Indigent","Provides ₹15,000 financial assistance to indigent Kalaimamani Award recipient artists.",https://www.myscheme.gov.in/,60,none,any,any,"₹27,000–1 Lakh",Artist,no,any,any,Tamil Nadu,none,no,no,"Indigent Kalaimamani award-winning artists in Tamil Nadu are eligible for ₹15,000 financial assistance."
Integrated Pest Management Demonstration Cum Training,"Agriculture, Farmer, Integrated Pest Management, Training",Provides financial aid for pest management training & demonstration for 30 farmers using cluster approach.,https://www.myscheme.gov.in/,18,none,any,any,null,Farmer,no,any,any,Tamil Nadu,none,no,no,Tamil Nadu farmers practicing pest management are eligible for training and demo support.
Distribution of Minikits at Free of Cost,"Agriculture, Farmer, Minikits, Subsidy",Provides free minikits to maize farmers in select districts.,https://www.myscheme.gov.in/,18,none,any,any,null,Maize Farmer,no,any,any,Tamil Nadu,none,no,no,Maize farmers in selected districts of Tamil Nadu receive free minikits under this scheme.
Production of Foundation and Certified Seeds,"Agriculture, Certified Seeds, Farmer, Foundation Seeds, Seed Production",Subsidy for farmers producing & supplying foundation and certified seeds.,https://www.myscheme.gov.in/,18,none,any,any,null,Seed Producer/ Farmer,no,any,any,Tamil Nadu,none,no,no,Farmers in Tamil Nadu involved in seed production are eligible for subsidy under this scheme.
Organizing Block Demonstration,"Agriculture, Block Demonstration, Farmer, Subsidy","50% subsidy (up to ₹2,000) for demonstrating Pulses cultivation over 5 hectares.",https://www.myscheme.gov.in/,18,none,any,any,null,Pulse Farmer,no,any,any,Tamil Nadu,none,no,no,Pulse farmers in Tamil Nadu are eligible for 50% subsidy on demonstration projects across 5 hectares.
Visit of Contract Farming Farmers to Research stations in Karnataka,"Agriculture, Contract Farming, Farmer, Research stations Visit",Financial support for 3-day visit to Karnataka research stations for contract farmers.,https://www.myscheme.gov.in/,18,none,any,any,null,Contract Farmer,no,any,any,Tamil Nadu,none,no,no,Contract farmers in Tamil Nadu are eligible for financial support to visit research stations in Karnataka.
Adi Dravidar & Tribal Welfare Hostels: Special Guides (sc),Accommodation / Education / sc,Hostel facilities for Adi Dravidar (sc) students up to Class 12 in Tamil Nadu.,https://www.myscheme.gov.in/,6,18,any,sc,null,student,no,any,any,Tamil Nadu,10th Pass,no,no,sc school students up to Class 12 in Tamil Nadu eligible for hostel accommodation.
Adi Dravidar & Tribal Welfare Hostels: Special Guides (st),Accommodation / Education / st,Hostel facilities for Tribal (st) students up to Class 12 in Tamil Nadu.,https://www.myscheme.gov.in/,6,18,any,st,null,student,no,any,any,Tamil Nadu,10th Pass,no,no,st school students up to Class 12 in Tamil Nadu eligible for hostel accommodation.
Training of Farmers on Pulses Production Technologies,"Agriculture, Farmer, Pulses Production, Training",Training on advanced technologies for pulses production to increase yield.,https://www.myscheme.gov.in/,18,none,any,any,null,Pulse Farmer,no,any,any,Tamil Nadu,none,no,no,Pulse farmers in Tamil Nadu are eligible for advanced training in yield-enhancing technologies.
Production of Certified Seeds of Maize,"Agriculture, Certified Seeds, Farmer, Maize, Seed Production",Subsidy to promote certified maize seed production.,https://www.myscheme.gov.in/,18,none,any,any,null,Maize Seed Producer,no,any,any,Tamil Nadu,none,no,no,Farmers producing certified maize seeds in Tamil Nadu are eligible for subsidy.
Production of Foundation Seeds (Pulses),Agriculture / Farmer,Subsidy for producing foundation seeds of pulses; priority to sc/st farmers and women in Tamil Nadu.,https://www.myscheme.gov.in/,18,none,any,any,null,Pulse Seed Producer,no,any,any,Tamil Nadu,none,no,no,Priority given to sc/st and women farmers producing foundation seeds of pulses in Tamil Nadu.
Adi Dravidar & Tribal Welfare: scholarship-Free Education up to 12th std. (sc),Adi Dravidar / scholarship / sc,Tuition fee coverage for sc students including Adi Dravidar Christians up to Class 12.,https://www.myscheme.gov.in/,6,18,any,sc,null,student,no,any,any,Tamil Nadu,10th Pass,no,no,sc and Adi Dravidar Christian students in Tamil Nadu studying up to Class 12 eligible for free education.
